ax,ay,az,gx,gy,gz
0.3560,-0.3178,0.8682,-13.3536,-1.2038,-36.5691
0.3336,-0.3030,0.8922,-11.7311,-0.8000,-37.2420
0.3350,-0.3154,0.8364,-9.9217,-0.3664,-34.7672
0.3073,-0.3914,0.8127,-10.7143,-8.8152,-30.5727
0.2933,-0.3818,0.8915,-9.6227,-7.2375,-22.3706
0.2731,-0.3611,0.8873,-5.4132,-5.1291,-11.5442
0.2775,-0.3641,0.8693,-0.4262,-10.0713,-2.1758
0.2642,-0.3655,0.8625,-1.0393,-10.5273,3.9403
0.2518,-0.3582,0.8627,-4.1347,-7.8506,11.3797
0.2721,-0.3577,0.8975,-6.1011,-5.5627,18.2957
0.2563,-0.3442,0.9145,-3.6337,-0.9570,26.3408
0.2803,-0.3212,0.8957,-2.7589,5.4282,30.9166
0.2928,-0.3226,0.8517,-4.7926,9.2488,39.3579
0.2627,-0.3356,0.8448,-12.2246,21.0098,52.1806
0.2946,-0.2999,0.8444,-19.3275,28.8605,67.1268
0.2801,-0.2427,0.8524,-28.8605,39.8962,78.7607
0.2946,-0.2471,0.8151,-36.7709,44.5244,98.2303
0.3893,-0.2227,0.8116,-43.4328,41.5337,115.8008
0.4512,-0.1489,0.8518,-41.8402,35.1784,127.4048
0.4343,-0.1190,0.9199,-34.4830,29.5708,132.2273
0.4706,-0.0869,0.8770,-21.4659,32.7335,144.8332
0.4572,0.0005,0.8022,-17.9219,37.1448,152.6315
0.5466,0.0701,0.8251,-13.9592,39.2383,151.9212
0.5352,0.0886,0.8236,-9.1666,35.4924,145.4688
0.5560,0.0852,0.9321,0.4411,-3.8431,142.5977
0.5068,0.1135,0.7304,-3.4094,-37.2569,154.2316
0.4515,0.1473,0.8063,-4.8824,-39.7990,151.5848
0.4603,0.2382,0.8178,-9.8918,-28.6810,144.5042
0.4891,0.2574,0.9141,-16.7480,0.7851,135.3751
0.3751,0.2260,0.8113,-4.9048,-5.3983,132.6460
0.5139,0.3790,0.9027,1.0841,16.3817,123.8608
0.4504,0.2683,0.8547,10.4002,29.7353,118.6046
0.4525,0.3339,0.8901,19.5967,45.4440,105.4903
0.4641,0.3430,0.8105,11.3872,50.2815,112.2194
0.3991,0.3463,0.8228,8.2245,41.5935,112.3465
0.3667,0.3223,0.8052,7.4020,31.9409,109.4679
0.4014,0.3062,0.8492,6.0487,11.8134,106.1707
0.3715,0.3397,0.8676,9.7273,5.0768,100.2042
0.3566,0.3732,0.8682,12.1722,3.7459,96.2863
0.3522,0.3832,0.8828,15.1106,7.4020,83.5982
0.3641,0.3764,0.8922,17.2266,8.4338,73.5493
0.3063,0.4241,0.8788,20.0378,7.6787,55.6050
0.3670,0.3525,0.8273,11.2526,7.2824,38.5130
0.3572,0.3585,0.8040,5.2188,1.2935,31.2157
0.3096,0.3550,0.8091,-3.5963,-9.8170,25.1146
0.2814,0.3819,0.8697,-5.6674,-14.9835,18.2733
0.2646,0.4210,0.8625,0.8449,-15.3947,15.8733
0.2503,0.4192,0.8756,4.6954,-9.4955,17.1518
