ax,ay,az,gx,gy,gz
0.5004,0.5234,0.6611,-14.3555,-4.2094,66.2894
0.4938,0.5670,0.6883,-9.1666,-3.5889,72.0241
0.4539,0.5714,0.6608,-0.6654,-5.9441,76.9812
0.4725,0.6036,0.6412,2.0935,-3.4169,80.5103
0.4411,0.5902,0.6078,3.6113,1.8169,79.0149
0.3959,0.5500,0.5349,-3.2225,3.4393,82.1103
0.3676,0.6143,0.5768,-13.6078,0.5682,86.9403
0.3582,0.6613,0.6014,-20.5612,3.3197,87.6057
0.3356,0.6713,0.6005,-20.6509,5.0992,86.4468
0.3050,0.6741,0.6066,-18.8116,7.6787,85.8487
0.2810,0.7151,0.6238,-16.5910,5.0468,88.4506
0.2737,0.7102,0.6003,-16.3144,1.5253,91.4787
0.2445,0.7032,0.5546,-16.8303,4.5309,88.6525
0.2040,0.7403,0.5624,-18.7668,6.3329,86.5366
0.1877,0.7717,0.5825,-22.6622,4.2618,85.0636
0.1855,0.7966,0.6354,-22.8416,1.6449,81.0411
0.1676,0.7902,0.6595,-14.1087,4.9048,77.1307
0.1733,0.8340,0.6483,2.0860,7.8432,68.5698
0.1252,0.8204,0.5963,12.5835,9.3236,54.9321
0.0622,0.7556,0.5594,7.7834,9.9890,50.1469
0.0354,0.7433,0.5794,3.4094,10.5946,55.4480
-0.0164,0.7735,0.6064,6.0039,8.1572,62.0201
-0.0360,0.7679,0.6187,7.6263,-1.5178,72.4652
0.0120,0.8046,0.6093,13.5555,-11.8059,72.9811
-0.0167,0.7938,0.5848,16.7406,-15.3050,65.0706
-0.0092,0.7814,0.5719,15.3947,-15.4321,58.7527
-0.0458,0.7339,0.5496,10.7890,-0.5309,50.6105
-0.1726,0.7512,0.6307,1.1739,5.5328,47.6871
-0.1373,0.7665,0.6871,-2.8337,0.9496,54.4012
-0.1155,0.7448,0.6487,3.7534,-0.0523,55.5751
-0.2656,0.7607,0.6316,7.7983,1.4655,43.9861
-0.1292,0.7416,0.6102,15.9555,-1.5178,36.5541
-0.1785,0.7608,0.6357,16.9125,-7.6413,29.5932
-0.2019,0.7318,0.6417,14.0639,-7.2824,29.8923
-0.1929,0.6559,0.6042,9.0395,-6.2880,31.8362
-0.2162,0.6570,0.5813,5.9291,0.1570,38.2962
-0.2264,0.6858,0.5907,-1.4954,3.9178,46.1095
-0.2213,0.7115,0.6182,-3.7982,-0.2542,40.1579
-0.2296,0.7186,0.6470,-4.7627,2.1832,28.4119
-0.2591,0.6995,0.6542,-2.9384,3.3047,21.8398
-0.2814,0.6878,0.6569,-4.2917,3.9851,22.3407
-0.3385,0.8205,0.7808,-9.8470,9.4507,12.1573
-0.3163,0.7366,0.7220,-10.8713,9.7198,25.3838
-0.2645,0.6864,0.6761,1.1140,6.4450,24.7108
-0.2868,0.6838,0.6415,14.5872,3.6487,16.5013
-0.2992,0.6776,0.6280,21.3463,-2.5945,4.6880
-0.3087,0.6671,0.6418,17.3462,-5.4057,1.5028
-0.2891,0.6448,0.6191,10.8862,-3.3571,1.2112
-0.2865,0.6394,0.6522,2.8786,1.6000,-2.6543
-0.2441,0.6256,0.5725,-2.5197,8.4637,-14.5648
-0.2377,0.6576,0.5625,-17.5929,15.4695,-32.7933
-0.2239,0.6989,0.6179,-27.6791,14.6396,-49.4142
-0.2057,0.7310,0.7004,-25.0697,11.4171,-63.0519
-0.2703,0.8838,0.7383,5.9142,11.5666,-71.7549
-0.2227,0.7264,0.6097,-0.7477,15.7387,-70.3792
